k	1dse	2dse	di	ndi
0.1	10.170131	8.389202	1.780928	0.175114
0.2	10.150487	8.714377	1.43611	0.141482
0.3	10.146084	8.746254	1.39983	0.137968
0.4	10.145372	8.7497	1.395671	0.137567
0.5	10.145289	8.750155	1.395133	0.137515
0.6	10.145285	8.750181	1.395104	0.137513
0.7	10.145285	8.750181	1.395103	0.137512
0.8	10.145285	8.750181	1.395103	0.137512
0.9	10.145285	8.750181	1.395103	0.137512
1	10.145285	8.750181	1.395103	0.137512
