k,1dse,2dse,di,ndi
0.1,10.07179,8.427052,1.644738,0.163301
0.2,10.033376,8.487394,1.545981,0.154084
0.3,10.025614,8.513876,1.511738,0.150788
0.4,10.024381,8.519769,1.504611,0.150095
0.5,10.024259,8.520578,1.503681,0.150004
0.6,10.024251,8.520642,1.503609,0.149997
0.7,10.024251,8.520643,1.503608,0.149997
0.8,10.024251,8.520643,1.503608,0.149997
0.9,10.024251,8.520643,1.503608,0.149997
1,10.024251,8.520643,1.503608,0.149997
