k,1dse,2dse,di,ndi
1,16.926902,5.664793,11.262109,0.665338
2,16.951763,7.211398,9.740365,0.574593
3,16.94811,8.616861,8.331249,0.491574
4,16.943629,9.637121,7.306508,0.431225
5,16.938425,10.336011,6.602414,0.389789
6,16.933975,10.885486,6.048489,0.357181
7,16.930083,11.327003,5.60308,0.330954
8,16.926641,11.612066,5.314575,0.313977
9,16.923415,11.875115,5.0483,0.298303
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
