t2,di,ndi
1,6.110841,0.836393
5,4.324009,0.442081
9,2.494130,0.251689
13,1.883437,0.189007
17,1.578299,0.157806
20,1.503608,0.149997
24,1.228345,0.122210
28,1.156756,0.114818
30,1.095559,0.108631
34,1.028831,0.101828
38,0.963609,0.095228
